millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
386004,39.792453,-86.238624,12.47,358.0,0.0998,0.0657,0.9609
386504,39.792507,-86.238626,14.14,357.6,0.6109,0.2326,1.1293
387004,39.792507,-86.238626,14.14,357.6,0.6787,0.1196,0.5303
387504,39.792568,-86.238629,15.55,357.7,-0.1623,0.4178,1.2293
388004,39.792568,-86.238629,15.55,357.7,0.1362,-0.0940,0.3883
388504,39.792634,-86.238631,17.04,358.6,-1.0531,0.7754,2.2353
389004,39.792634,-86.238631,17.04,358.6,0.0254,-0.2372,0.0410
389504,39.792707,-86.238633,18.72,358.7,-0.4652,0.6485,0.9713
390004,39.792707,-86.238633,18.72,358.7,0.5042,-0.0293,0.0556
390504,39.792786,-86.238635,19.99,358.7,-0.3492,0.2045,0.4974
391004,39.792786,-86.238635,19.99,358.7,-0.2265,0.0923,0.0039
391504,39.792870,-86.238637,21.37,358.8,0.7466,-0.0178,0.3610
392004,39.792870,-86.238637,21.37,358.8,-0.1743,0.0256,0.0517
392504,39.792957,-86.238638,21.77,359.0,0.1145,0.1594,0.2426
393004,39.792957,-86.238638,21.77,359.0,0.4486,0.0312,0.3961
393504,39.793044,-86.238640,21.69,358.9,0.2297,0.0730,-0.2384
394004,39.793044,-86.238640,21.69,358.9,-0.1118,0.8864,1.1588
394504,39.793131,-86.238641,21.50,359.4,0.0403,0.8249,2.6319
395004,39.793131,-86.238641,21.50,359.4,-0.0674,0.1952,0.8732
395504,39.793217,-86.238642,21.32,359.7,0.0949,0.2585,0.9379
396004,39.793217,-86.238642,21.32,359.7,0.1035,0.6653,0.9879
396504,39.793302,-86.238643,21.09,359.1,-0.1323,0.8740,0.8256
397004,39.793302,-86.238643,21.09,359.1,0.2946,0.0344,1.3928
397504,39.793386,-86.238644,20.91,359.4,-0.3200,0.6851,1.5368
398004,39.793386,-86.238644,20.91,359.4,0.5904,0.2472,1.1798
398504,39.793470,-86.238646,20.74,359.4,0.3846,0.2475,1.2767
399004,39.793470,-86.238646,20.74,359.4,0.6931,-0.1940,0.6028
399504,39.793552,-86.238647,20.44,359.0,0.4898,-0.2282,0.9711
400004,39.793552,-86.238647,20.44,359.0,0.1501,0.1340,1.6676
400504,39.793634,-86.238649,20.30,359.4,0.3585,0.2768,1.2464
401004,39.793634,-86.238649,20.30,359.4,-0.3480,0.6321,1.2476
401504,39.793714,-86.238650,19.98,359.9,0.4615,0.3961,0.7888
402004,39.793714,-86.238650,19.98,359.9,-0.0786,0.1621,-0.1076
402504,39.793794,-86.238650,19.87,0.0,0.0905,-0.2314,0.5264
403004,39.793794,-86.238650,19.87,0.0,0.2262,0.0459,1.3369
403504,39.793874,-86.238652,19.69,359.2,-0.1389,0.6699,1.5444
404004,39.793874,-86.238652,19.69,359.2,-0.0010,0.5884,0.2511
404504,39.793953,-86.238654,19.46,358.7,0.3505,-0.0615,1.3208
405004,39.793953,-86.238654,19.46,358.7,0.5862,0.3768,1.2364
405504,39.794030,-86.238658,19.18,358.0,-0.0452,0.3920,0.1025
406004,39.794030,-86.238658,19.18,358.0,0.3258,0.3175,1.0294
406504,39.794106,-86.238660,18.72,358.6,-0.1479,0.5179,0.9745
407004,39.794106,-86.238660,18.72,358.6,0.0390,0.2250,0.6475
407504,39.794181,-86.238663,18.75,358.8,0.1308,0.2914,0.7598
408004,39.794181,-86.238663,18.75,358.8,0.3385,-0.0256,1.5014
408504,39.794256,-86.238666,18.69,358.3,0.2755,0.7478,0.6380
409004,39.794256,-86.238666,18.69,358.3,1.0709,0.0010,0.9989
409504,39.794330,-86.238669,18.49,358.1,-0.0844,0.0761,-0.2953
410004,39.794330,-86.238669,18.49,358.1,0.1972,0.3942,1.5071
410504,39.794404,-86.238673,18.34,358.4,0.1047,0.1777,0.6738
411004,39.794404,-86.238673,18.34,358.4,0.2721,0.4173,0.9311
411504,39.794477,-86.238676,18.25,358.9,-0.0791,0.3678,1.6742
412004,39.794477,-86.238676,18.25,358.9,-0.2431,0.4928,0.8112
412504,39.794550,-86.238678,18.01,358.6,0.1967,0.4183,0.5267
413004,39.794550,-86.238678,18.01,358.6,-0.4083,0.7471,1.4333
413504,39.794621,-86.238681,17.86,358.0,0.2826,0.1560,1.1102
414004,39.794621,-86.238681,17.86,358.0,-0.1952,-0.0542,0.5137
414504,39.794694,-86.238685,17.87,357.9,-0.3602,-0.0103,-0.6206
415004,39.794694,-86.238685,17.87,357.9,-0.2912,0.4605,1.3794
415504,39.794765,-86.238688,17.63,358.1,-0.1674,0.6531,1.0919
416004,39.794765,-86.238688,17.63,358.1,0.0171,0.3195,1.2564
416504,39.794835,-86.238692,17.48,358.1,-0.0215,0.2714,1.4231
417004,39.794835,-86.238692,17.48,358.1,0.3248,0.1006,1.2391
417504,39.794905,-86.238695,17.34,358.2,0.5428,1.0463,1.5617
418004,39.794905,-86.238695,17.34,358.2,0.1723,0.3600,1.7211
418504,39.794975,-86.238698,17.20,358.2,0.0020,0.1481,0.9630
419004,39.794975,-86.238698,17.20,358.2,0.1999,0.0842,0.3971
419504,39.795043,-86.238700,17.00,358.3,0.5626,0.2802,0.9206
420004,39.795043,-86.238700,17.00,358.3,0.5482,0.2248,1.1405
420504,39.795111,-86.238703,16.89,358.5,0.4090,0.4659,0.6663
421004,39.795111,-86.238703,16.89,358.5,0.0339,0.4835,1.2711
421504,39.795178,-86.238705,16.67,358.8,0.0744,0.1713,0.9474
422004,39.795178,-86.238705,16.67,358.8,0.0452,0.3466,0.9565
422504,39.795245,-86.238707,16.54,359.1,0.3185,0.3795,0.8059
423004,39.795245,-86.238707,16.54,359.1,-0.1970,0.3898,1.4104
423504,39.795311,-86.238709,16.36,359.1,-0.0564,0.0393,1.3350
424004,39.795311,-86.238709,16.36,359.1,-0.5274,0.5438,1.5478
424504,39.795376,-86.238710,16.21,359.3,0.3285,0.3295,1.1239
425004,39.795376,-86.238710,16.21,359.3,-0.1064,0.3812,1.6430
425504,39.795440,-86.238711,16.00,359.1,0.4940,-0.0544,0.5418
426004,39.795440,-86.238711,16.00,359.1,0.5106,0.2602,0.6699
426504,39.795504,-86.238713,15.80,358.3,0.1699,0.1303,0.8056
427004,39.795504,-86.238713,15.80,358.3,-0.1643,0.4596,1.3533
427504,39.795567,-86.238715,15.75,359.0,0.0371,0.1957,0.6548
428004,39.795567,-86.238715,15.75,359.0,-0.1084,0.4215,1.3570
428504,39.795630,-86.238716,15.56,359.2,0.0078,0.4442,0.9589
429004,39.795630,-86.238716,15.56,359.2,0.1982,0.1774,1.2894
429504,39.795691,-86.238716,15.50,359.8,0.1801,0.1599,0.6060
430004,39.795691,-86.238716,15.50,359.8,0.1006,0.2538,1.0138
430504,39.795753,-86.238717,15.31,359.6,-0.0686,0.3651,0.9528
431004,39.795753,-86.238717,15.31,359.6,0.2216,0.3014,1.0641
431504,39.795812,-86.238717,14.52,0.3,-0.1713,0.6724,1.0326
432004,39.795812,-86.238717,14.52,0.3,0.0493,0.2865,1.0726
432504,39.795873,-86.238718,14.88,359.5,0.2919,0.2389,0.8915
433004,39.795873,-86.238718,14.88,359.5,-0.1084,0.1335,0.7744
433504,39.795933,-86.238719,14.78,359.4,0.1538,0.2028,0.7400
434004,39.795933,-86.238719,14.78,359.4,-0.2279,0.4283,1.3775
434504,39.795993,-86.238720,14.74,359.3,-0.0444,0.1913,0.0578
435004,39.795993,-86.238720,14.74,359.3,-0.1562,0.4410,1.1620
435504,39.796052,-86.238722,14.59,359.1,-0.2521,0.4464,1.2872
436004,39.796052,-86.238722,14.59,359.1,0.3422,0.3236,1.1629
436504,39.796111,-86.238724,14.45,358.6,0.1948,0.2331,1.0560
437004,39.796111,-86.238724,14.45,358.6,0.1008,0.2272,0.6201
437504,39.796169,-86.238727,14.34,358.5,1.4226,0.7163,1.6920
438004,39.796169,-86.238727,14.34,358.5,0.0827,0.3041,0.8122
438504,39.796227,-86.238729,14.20,358.6,-0.0200,0.1052,0.8366
439004,39.796227,-86.238729,14.20,358.6,0.0273,0.3019,1.1070
439504,39.796284,-86.238731,14.04,358.6,0.2035,0.3988,0.9860
440004,39.796284,-86.238731,14.04,358.6,0.1308,0.2714,1.0821
440504,39.796340,-86.238733,13.97,358.6,0.0574,0.3104,0.9916
441004,39.796340,-86.238733,13.97,358.6,0.2184,0.3490,1.6579
441504,39.796396,-86.238736,13.89,358.5,0.1860,0.8693,1.4609
442004,39.796396,-86.238736,13.89,358.5,-0.0710,0.4405,1.1227
442504,39.796451,-86.238738,13.61,358.5,0.0005,0.2279,0.9667
