millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
39919,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8503,0.3078
40419,NO_FIX,NO_FIX,0.00,0.0,0.3829,0.8532,0.3204
40919,NO_FIX,NO_FIX,0.00,0.0,0.3817,0.8574,0.3141
41419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8540,0.3185
41919,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8535,0.3226
42419,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8569,0.3180
42919,NO_FIX,NO_FIX,0.00,0.0,0.3895,0.8542,0.3102
43419,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8562,0.3165
43919,NO_FIX,NO_FIX,0.00,0.0,0.4078,0.8532,0.3295
44419,NO_FIX,NO_FIX,0.00,0.0,0.4083,0.8513,0.3251
44919,NO_FIX,NO_FIX,0.00,0.0,0.4029,0.8518,0.3219
45419,NO_FIX,NO_FIX,0.00,0.0,0.3902,0.8632,0.3192
45919,NO_FIX,NO_FIX,0.00,0.0,0.3859,0.8515,0.3161
46419,NO_FIX,NO_FIX,0.00,0.0,0.3785,0.8557,0.3336
46919,NO_FIX,NO_FIX,0.00,0.0,0.3815,0.8479,0.3217
47419,NO_FIX,NO_FIX,0.00,0.0,0.3978,0.8501,0.3217
47919,NO_FIX,NO_FIX,0.00,0.0,0.3973,0.8569,0.3224
48419,NO_FIX,NO_FIX,0.00,0.0,0.3827,0.8625,0.3253
48919,NO_FIX,NO_FIX,0.00,0.0,0.3866,0.8537,0.3302
49419,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8513,0.3263
49919,NO_FIX,NO_FIX,0.00,0.0,0.3976,0.8457,0.3258
50419,NO_FIX,NO_FIX,0.00,0.0,0.3807,0.8552,0.3185
50919,NO_FIX,NO_FIX,0.00,0.0,0.3944,0.8588,0.3183
51419,NO_FIX,NO_FIX,0.00,0.0,0.3800,0.8569,0.3319
51919,NO_FIX,NO_FIX,0.00,0.0,0.3863,0.8603,0.3358
52419,NO_FIX,NO_FIX,0.00,0.0,0.3802,0.8513,0.3217
52919,NO_FIX,NO_FIX,0.00,0.0,0.3868,0.8474,0.3178
53419,NO_FIX,NO_FIX,0.00,0.0,0.4042,0.8491,0.3178
53919,NO_FIX,NO_FIX,0.00,0.0,0.3939,0.8576,0.3141
54419,NO_FIX,NO_FIX,0.00,0.0,0.4003,0.8520,0.3197
54919,NO_FIX,NO_FIX,0.00,0.0,0.3841,0.8518,0.3287
55419,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8540,0.3136
55919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8530,0.3322
56419,NO_FIX,NO_FIX,0.00,0.0,0.3934,0.8557,0.3192
56919,NO_FIX,NO_FIX,0.00,0.0,0.3966,0.8505,0.3261
57419,NO_FIX,NO_FIX,0.00,0.0,0.3881,0.8591,0.3241
57919,NO_FIX,NO_FIX,0.00,0.0,0.4061,0.8503,0.3165
58419,NO_FIX,NO_FIX,0.00,0.0,0.3854,0.8552,0.3163
58919,NO_FIX,NO_FIX,0.00,0.0,0.3856,0.8540,0.3200
59419,NO_FIX,NO_FIX,0.00,0.0,0.3881,0.8620,0.3275
59919,NO_FIX,NO_FIX,0.00,0.0,0.4015,0.8535,0.3231
60419,NO_FIX,NO_FIX,0.00,0.0,0.4003,0.8515,0.3273
60919,NO_FIX,NO_FIX,0.00,0.0,0.3983,0.8464,0.3280
61419,NO_FIX,NO_FIX,0.00,0.0,0.3922,0.8461,0.3222
61919,NO_FIX,NO_FIX,0.00,0.0,0.3795,0.8527,0.3119
62419,NO_FIX,NO_FIX,0.00,0.0,0.4044,0.8608,0.3202
62919,NO_FIX,NO_FIX,0.00,0.0,0.3859,0.8554,0.3114
63419,NO_FIX,NO_FIX,0.00,0.0,0.3885,0.8657,0.3231
63919,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8432,0.3207
64419,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8583,0.3183
64919,NO_FIX,NO_FIX,0.00,0.0,0.4037,0.8576,0.3183
65419,NO_FIX,NO_FIX,0.00,0.0,0.4066,0.8444,0.3212
65919,NO_FIX,NO_FIX,0.00,0.0,0.3924,0.8564,0.3170
66419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8566,0.3236
66919,NO_FIX,NO_FIX,0.00,0.0,0.3773,0.8552,0.3185
67419,NO_FIX,NO_FIX,0.00,0.0,0.4046,0.8535,0.3143
67919,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8608,0.3234
68419,NO_FIX,NO_FIX,0.00,0.0,0.4061,0.8532,0.3080
68919,NO_FIX,NO_FIX,0.00,0.0,0.3834,0.8510,0.3244
69419,NO_FIX,NO_FIX,0.00,0.0,0.3756,0.8513,0.3161
69919,NO_FIX,NO_FIX,0.00,0.0,0.3583,0.8637,0.3014
70419,NO_FIX,NO_FIX,0.00,0.0,0.3912,0.8471,0.3253
70919,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8566,0.3202
71419,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8498,0.3229
71919,NO_FIX,NO_FIX,0.00,0.0,0.3934,0.8498,0.3209
72419,NO_FIX,NO_FIX,0.00,0.0,0.3939,0.8430,0.3212
72919,NO_FIX,NO_FIX,0.00,0.0,0.3890,0.8586,0.3231
73419,NO_FIX,NO_FIX,0.00,0.0,0.4049,0.8481,0.3190
73919,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8564,0.3131
74419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8544,0.3263
74919,NO_FIX,NO_FIX,0.00,0.0,0.3907,0.8466,0.3261
75419,NO_FIX,NO_FIX,0.00,0.0,0.3963,0.8501,0.3185
75919,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8518,0.3168
76419,NO_FIX,NO_FIX,0.00,0.0,0.3949,0.8530,0.3153
76919,NO_FIX,NO_FIX,0.00,0.0,0.3942,0.8547,0.3192
77419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8481,0.3251
77919,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8474,0.3219
78419,NO_FIX,NO_FIX,0.00,0.0,0.3807,0.8562,0.3200
78919,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8501,0.3256
79419,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8579,0.3273
79919,NO_FIX,NO_FIX,0.00,0.0,0.3898,0.8503,0.3141
80419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8432,0.3224
80919,NO_FIX,NO_FIX,0.00,0.0,0.3946,0.8654,0.3251
81419,NO_FIX,NO_FIX,0.00,0.0,0.3988,0.8459,0.3234
81919,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8779,0.3202
82419,NO_FIX,NO_FIX,0.00,0.0,0.3939,0.8476,0.3202
82919,NO_FIX,NO_FIX,0.00,0.0,0.3983,0.8603,0.3209
83419,NO_FIX,NO_FIX,0.00,0.0,0.3890,0.8347,0.3261
83919,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8579,0.3456
84419,NO_FIX,NO_FIX,0.00,0.0,0.3942,0.8444,0.3336
84919,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8632,0.3053
85419,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8518,0.3163
85919,NO_FIX,NO_FIX,0.00,0.0,0.4117,0.8806,0.3117
86419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8635,0.3200
