timestamp,latitude,longitude,speed,heading
803507,39.792162,-86.238639,0.21,356.2 
804008,39.792167,-86.238639,1.31,355.6
804510,39.792167,-86.238639,1.31,355.6
805011,39.792178,-86.238639,2.68,356.8
805512,39.792178,-86.238639,2.68,356.8
806013,39.792195,-86.238639,4.14,357.1
806514,39.792195,-86.238639,4.14,357.1
807015,39.792217,-86.238639,5.78,358.0
807517,39.792217,-86.238639,5.78,358.0
808018,39.792246,-86.238639,7.43,358.3
808519,39.792246,-86.238639,7.43,358.3
809019,39.792282,-86.238640,9.03,357.9
809521,39.792282,-86.238640,9.03,357.9
810021,39.792323,-86.238641,10.55,357.5
810506,39.792323,-86.238641,10.55,357.5
811006,39.792371,-86.238643,12.23,357.6
811509,39.792371,-86.238643,12.23,357.6
812009,39.792427,-86.238645,13.88,358.0
812510,39.792427,-86.238645,13.88,358.0
813010,39.792488,-86.238647,15.40,358.0
813513,39.792488,-86.238647,15.40,358.0
814013,39.792556,-86.238650,16.81,357.7
814514,39.792556,-86.238650,16.81,357.7
815015,39.792628,-86.238653,18.23,357.9
815517,39.792628,-86.238653,18.23,357.9
816017,39.792707,-86.238655,19.71,358.2
816519,39.792707,-86.238655,19.71,358.2
817019,39.792790,-86.238659,20.77,357.7
817521,39.792790,-86.238659,20.77,357.7
818021,39.792874,-86.238664,20.71,357.4
818505,39.792874,-86.238664,20.71,357.4
819006,39.792957,-86.238667,20.52,358.0
819507,39.792957,-86.238667,20.52,358.0
820008,39.793039,-86.238671,20.33,357.9
820510,39.793039,-86.238671,20.33,357.9
821011,39.793121,-86.238675,20.18,357.8
821512,39.793121,-86.238675,20.18,357.8
822013,39.793202,-86.238677,20.00,358.4
822514,39.793202,-86.238677,20.00,358.4
823015,39.793283,-86.238679,19.86,358.5
823517,39.793283,-86.238679,19.86,358.5
824018,39.793363,-86.238681,19.68,358.7
824519,39.793363,-86.238681,19.68,358.7
825019,39.793442,-86.238684,19.47,357.8
825521,39.793442,-86.238684,19.47,357.8
826021,39.793520,-86.238687,19.28,357.7
826506,39.793520,-86.238687,19.28,357.7
827006,39.793598,-86.238690,19.10,358.0
827509,39.793598,-86.238690,19.10,358.0
828009,39.793678,-86.238693,18.87,357.9
828510,39.793678,-86.238693,18.87,357.9
829010,39.793758,-86.238697,18.82,358.0
829513,39.793758,-86.238697,18.82,358.0
830013,39.793836,-86.238700,18.60,357.9
830514,39.793836,-86.238700,18.60,357.9
831014,39.793912,-86.238703,18.41,357.9
831517,39.793912,-86.238703,18.41,357.9
832017,39.793988,-86.238705,18.27,358.1
832519,39.793988,-86.238705,18.27,358.1
833019,39.794062,-86.238707,18.11,358.7
833521,39.794062,-86.238707,18.11,358.7
834021,39.794134,-86.238709,17.68,358.5
834505,39.794134,-86.238709,17.68,358.5
835006,39.794205,-86.238710,17.63,358.8
835507,39.794205,-86.238710,17.63,358.8
836008,39.794277,-86.238711,17.47,359.2
836510,39.794277,-86.238711,17.47,359.2
837011,39.794347,-86.238711,17.40,359.3
837512,39.794347,-86.238711,17.40,359.3
838013,39.794417,-86.238711,17.16,359.5
838514,39.794417,-86.238711,17.16,359.5
839015,39.794487,-86.238711,17.14,359.2
839517,39.794487,-86.238711,17.14,359.2
840018,39.794557,-86.238713,16.99,359.1
840519,39.794557,-86.238713,16.99,359.1
841019,39.794626,-86.238714,16.93,359.0
841521,39.794626,-86.238714,16.93,359.0
842021,39.794694,-86.238716,16.79,358.9
842506,39.794694,-86.238716,16.79,358.9
843006,39.794762,-86.238718,16.57,358.6
843509,39.794762,-86.238718,16.57,358.6
