millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
4242504,39.794837,-86.238692,15.70,359.5,0.0317,0.3241,0.7322
4243004,39.794837,-86.238692,15.70,359.5,0.3558,0.1813,0.5674
4243504,39.794900,-86.238692,15.54,359.5,-1.1183,1.1415,2.6444
4244004,39.794900,-86.238692,15.54,359.5,0.0539,0.1823,0.3158
4244504,39.794962,-86.238693,15.36,359.3,0.2438,0.2707,1.1849
4245004,39.794962,-86.238693,15.36,359.3,0.1965,0.4405,1.1776
4245504,39.795024,-86.238694,15.24,359.4,0.2475,0.2470,0.9560
4246004,39.795024,-86.238694,15.24,359.4,0.0803,0.1574,0.2938
4246504,39.795086,-86.238695,15.06,359.3,-0.1074,-0.0281,1.1847
4247004,39.795086,-86.238695,15.06,359.3,-0.3505,0.5352,1.4302
4247504,39.795146,-86.238696,14.86,359.0,0.3168,0.1220,0.2921
4248004,39.795146,-86.238696,14.86,359.0,0.2345,0.0508,0.4947
4248504,39.795206,-86.238699,14.75,358.7,0.1994,0.2633,1.2108
4249004,39.795206,-86.238699,14.75,358.7,0.1362,0.2043,0.5782
4249504,39.795265,-86.238700,14.57,359.1,-0.0483,0.0766,0.5582
4250004,39.795265,-86.238700,14.57,359.1,0.1528,0.1079,0.4034
4250504,39.795322,-86.238700,14.37,359.5,0.2426,0.4852,1.3330
4251004,39.795322,-86.238700,14.37,359.5,0.0422,0.4830,1.3811
4251504,39.795380,-86.238700,14.20,359.3,0.1032,0.4242,1.1795
4252004,39.795380,-86.238700,14.20,359.3,0.5359,0.1538,0.5474
4252504,39.795437,-86.238700,14.12,359.1,0.0578,-0.1452,-0.0766
4253004,39.795437,-86.238700,14.12,359.1,0.1059,0.3575,1.0241
4253504,39.795493,-86.238701,13.89,359.1,0.0559,0.2255,0.7273
4254004,39.795493,-86.238701,13.89,359.1,0.2482,0.0376,0.3136
4254504,39.795548,-86.238703,13.69,359.2,-0.0220,0.3009,0.9596
4255004,39.795548,-86.238703,13.69,359.2,0.6860,0.0332,0.5735
4255504,39.795602,-86.238703,13.59,359.4,0.3258,0.1142,0.6743
4256004,39.795602,-86.238703,13.59,359.4,0.0840,0.2926,0.7131
4256504,39.795656,-86.238704,13.43,359.4,0.1899,0.1904,0.7807
4257004,39.795656,-86.238704,13.43,359.4,0.2323,0.2155,0.5755
4257504,39.795710,-86.238705,13.33,359.4,0.2585,0.2216,0.8757
4258004,39.795710,-86.238705,13.33,359.4,0.3175,0.3798,1.3704
4258504,39.795764,-86.238707,13.18,359.5,0.0947,0.2902,1.1703
4259004,39.795764,-86.238707,13.18,359.5,0.2341,0.3883,1.0031
4259504,39.795817,-86.238709,12.99,359.4,-0.3256,0.4818,0.9059
4260004,39.795817,-86.238709,12.99,359.4,-0.1232,0.5455,1.4202
